date;alert;PM > 50 _g/m3
01\/01\/2017;0;1
01\/02\/2017;0;0
01\/03\/2017;0;0
01\/04\/2017;0;0
01\/05\/2017;0;0
01\/06\/2017;0;0
01\/07\/2017;0;1
01\/08\/2017;0;0
01\/09\/2017;1;1
01\/10\/2017;1;0
01\/11\/2017;0;0
01\/12\/2017;0;0
01\/13\/2017;0;0
01\/14\/2017;0;0
01\/15\/2017;0;0
01\/16\/2017;1;0
01\/17\/2017;1;1
01\/18\/2017;1;1
01\/19\/2017;1;1
01\/20\/2017;1;1
01\/21\/2017;1;1
01\/22\/2017;1;1
01\/23\/2017;1;1
01\/24\/2017;1;1
01\/25\/2017;1;1
01\/26\/2017;1;1
01\/27\/2017;1;1
01\/28\/2017;1;1
01\/29\/2017;1;1
01\/30\/2017;1;1
01\/31\/2017;0;0
02\/01\/2017;0;1
02\/02\/2017;1;1
02\/03\/2017;1;1
02\/04\/2017;0;0
02\/05\/2017;0;0
02\/06\/2017;0;1
02\/07\/2017;1;1
02\/08\/2017;1;1
02\/09\/2017;1;1
02\/10\/2017;1;1
02\/11\/2017;1;1
02\/12\/2017;1;1
02\/13\/2017;1;1
02\/14\/2017;1;1
02\/15\/2017;1;1
02\/16\/2017;1;1
02\/17\/2017;0;0
02\/18\/2017;0;0
02\/19\/2017;1;0
02\/20\/2017;1;0
02\/21\/2017;0;0
02\/22\/2017;0;0
02\/23\/2017;0;0
02\/24\/2017;0;0
02\/25\/2017;0;0
02\/26\/2017;0;0
02\/27\/2017;0;0
02\/28\/2017;0;0
03\/01\/2017;0;0
03\/02\/2017;0;0
03\/03\/2017;0;1
03\/04\/2017;0;0
03\/05\/2017;0;0
03\/06\/2017;0;0
03\/07\/2017;0;0
03\/08\/2017;0;0
03\/09\/2017;0;0
03\/10\/2017;0;0
03\/11\/2017;0;0
03\/12\/2017;1;0
03\/13\/2017;1;0
03\/14\/2017;1;1
03\/15\/2017;1;1
03\/16\/2017;1;1
03\/17\/2017;1;0
03\/18\/2017;0;0
03\/19\/2017;0;0
03\/20\/2017;0;0
03\/21\/2017;0;0
03\/22\/2017;0;0
03\/23\/2017;0;0
03\/24\/2017;0;0
03\/25\/2017;1;0
03\/26\/2017;1;0
03\/27\/2017;1;0
03\/28\/2017;1;0
03\/29\/2017;1;0
03\/30\/2017;1;0
03\/31\/2017;1;0
04\/01\/2017;1;0
04\/02\/2017;0;0
04\/03\/2017;0;0
04\/04\/2017;0;0
04\/05\/2017;0;0
04\/06\/2017;0;0
04\/07\/2017;1;0
04\/08\/2017;1;0
04\/09\/2017;1;0
04\/10\/2017;0;0
04\/11\/2017;0;0
04\/12\/2017;0;0
04\/13\/2017;0;0
04\/14\/2017;0;0
04\/15\/2017;0;0
04\/16\/2017;0;0
04\/17\/2017;0;0
04\/18\/2017;0;0
04\/19\/2017;0;0
04\/20\/2017;0;0
04\/21\/2017;0;0
04\/22\/2017;0;0
04\/23\/2017;0;0
04\/24\/2017;0;0
04\/25\/2017;0;0
04\/26\/2017;0;0
04\/27\/2017;0;1
04\/28\/2017;0;0
04\/29\/2017;0;0
04\/30\/2017;0;0
05\/01\/2017;0;0
05\/02\/2017;0;0
05\/03\/2017;0;0
05\/04\/2017;0;0
05\/05\/2017;0;1
05\/06\/2017;0;0
05\/07\/2017;0;0
05\/08\/2017;0;0
05\/09\/2017;0;0
05\/10\/2017;0;0
05\/11\/2017;0;0
05\/12\/2017;0;0
05\/13\/2017;0;0
05\/14\/2017;0;0
05\/15\/2017;0;0
05\/16\/2017;0;0
05\/17\/2017;0;0
05\/17\/2017;0;0
05\/18\/2017;0;0
05\/19\/2017;0;0
05\/20\/2017;0;0
05\/21\/2017;0;0
05\/22\/2017;0;0
05\/23\/2017;0;0
05\/24\/2017;0;0
05\/25\/2017;0;0
05\/26\/2017;0;0
05\/27\/2017;0;0
05\/28\/2017;0;0
05\/29\/2017;0;0
05\/30\/2017;0;0
05\/31\/2017;0;0
06\/01\/2017;0;0
06\/02\/2017;0;0
06\/03\/2017;0;0
06\/04\/2017;0;0
06\/05\/2017;0;0
06\/06\/2017;0;0
06\/07\/2017;0;0
06\/08\/2017;0;1
06\/09\/2017;0;1
